CLASS_ID,Класс (рус),Описание рус,OSM тэг
Buildings and Construction,,,
101,Многоквартиное жилое здание,Жилые многоквартирные здания в разных типах застройки.  ,"building=yes,
building=residential,
building=appartments,"
901,Тень здания,Тень от зданий,
902,Стена здания,Стены зданий,
102,Частный дом,Малоэтажная застройка. Не принципиальна высота зданий,"building=house,
building=residential"
103,Промышленное здание,"Промышленные здания.
Заводы, порты и т.д. характерные наличием промышленной инфраструктуры.",building=industrial
104,Коммерческое здание,"Офисные помещения, бизнес-центры, торговые центры.
Характерны наличием парковок в офисные часы",building=commercial
105,Прочие нежилые здания,"Прочие здания. Не попало ни в один из вышеперечисленных классов, предположительно является нежилым типом",
106,Строительная площадка,"Строй площадка, строительный полигон",landuse=construction
107,Строящееся здание,Строящееся здание,building=construction
108,Котлован,Строительный котлован либо карьер,
110,Культовые сооружения,,building=religious
111,"Блокированная застройка, кварталы террасного типа, плотно прилегающие строения без просветов",Не характерно для РФ. ,
112,"Административное здание, общественные места","Больницы, школы, дет. сады и т.д.",building=civic